row_id,b0,b1,b2,b3,b4,raw_val
25,0.293511266547372,0.22766132439888076,0.17949521907786337,0.18095396204294403,0.17329511496850475,0.5739861161856046|0.38578961976131|0.75|160|poisson|19|9.0|2
26,0.14831054641840388,0.18946577189395844,0.1519104425966868,0.15330418389032444,0.1423990192706712,0.5878699305809281|0.3816264224257563|0.75|110|poisson|17|4.25|3
27,0.3622963056506899,0.344321514437404,0.2715090146869518,0.3004896064755714,0.22942559497583628,0.2287175739861162|0.6772134332500693|0.75|110|squared_error|6|5.25|13
28,0.2742965644456633,0.28518718537308035,0.2168186561545679,0.16365281771481635,0.15452199837915345,0.7256119839240043|0.3436025534276991|0.2499999999999998|10|poisson|20|1.25|10
29,0.2888696782223383,0.18264293501472045,0.11932326044664307,0.12550193388413433,0.14265857255215647,0.5714285714285714|0.3866222592284207|0.75|170|absolute_error|16|7.25|6
30,0.27471417508835005,0.22339717895430045,0.1941995690627503,0.1495672484676543,0.14660326185972375,0.5937157471684325|0.3799611434915348|0.75|190|poisson|13|1.5|16
31,0.4817584107340076,0.4232780698862854,0.2818611696875494,0.24468948430371548,0.18114136706355483,0.4753379612714651|0.5489869553150153|1.0|190|squared_error|2|7.75|4
32,0.31052904132659287,0.2035989021882801,0.15264114068274506,0.16456613229083497,0.18214579259162447,0.5312385823894774|0.3982792117679711|0.75|20|poisson|10|7.0|20
33,0.2542950899205399,0.17977763239117397,0.12791707340773634,0.1568851063100181,0.17534597226416937,0.7113628059919619|0.3474882042742159|0.2499999999999998|50|absolute_error|17|6.5|10
34,0.29553427133556154,0.2665935470107526,0.0904570199269358,0.1341638628214619,0.1567987960452034,0.6225794665692362|0.3719122953094643|0.2499999999999998|160|squared_error|13|5.25|12
35,0.2303856798493464,0.21453805038194368,0.12836121611891654,0.18364765368041858,0.16868751422123557,0.6598465473145779|0.3616430752150985|0.2499999999999998|180|absolute_error|19|2.0|3
36,0.24986558650641763,0.24086006293190543,0.1131173156088543,0.1415655903238793,0.1478620982970699,0.6346364632809646|0.3685817374410213|0.2499999999999998|70|squared_error|17|4.5|3
37,0.34788971846995037,0.3010433223368462,0.11097292714207399,0.16926696153452656,0.16616519862326162,0.6083302886371939|0.376075492645018|0.2499999999999998|50|squared_error|20|6.0|11
38,0.30315079328393185,0.19444314540621607,0.09921668188201438,0.1359159757621133,0.164815046593903,0.6298867373036171|0.369691923397169|0.2499999999999998|120|squared_error|16|8.5|5
39,0.25072308091253936,0.1849596623316478,0.15715259018346073,0.15944151700827977,0.1735516563926855,0.628059919620022|0.3702470163752428|0.2499999999999998|90|squared_error|12|0.25|9
40,0.293511266547372,0.1908889162197002,0.1476344224241399,0.13951757722843067,0.16344268857201502,0.6108878333942271|0.3752428531779073|0.2499999999999998|170|poisson|15|8.75|2
41,0.22138743167359975,0.26627543080017635,0.15101884773441454,0.16810345846371716,0.17808882148298416,0.5663134819145048|0.3880099916736053|0.75|90|poisson|7|5.25|13
42,0.30626774427465864,0.21655457237493317,0.17092658725328708,0.1642954832782419,0.19378325029362867,0.5831202046035805|0.3832917013599777|0.75|190|poisson|18|5.75|8
43,0.28200932755567887,0.2543835900262913,0.11484456412282311,0.16484831950375675,0.14779861496472532,0.6781147241505298|0.3563696919233972|0.2499999999999998|50|absolute_error|4|8.0|1
44,0.28665552609185996,0.17753767412582003,0.14870473910258553,0.155015080396736,0.16602805176252478,0.6846912678114724|0.3547044129891756|0.2499999999999998|30|absolute_error|13|7.5|11
45,0.18983285298933408,0.19812136850592366,0.12564263433834547,0.17431741259434858,0.11937613064042867,0.6375593715747169|0.3677490979739106|0.2499999999999998|180|absolute_error|11|5.0|1
46,0.3082058245127815,0.41063352401165804,0.2398332344132384,0.18825899484871408,0.1060144402443174,0.5480453050785531|0.5345545378850957|1.0|10|squared_error|8|7.5|2
47,0.29201384598366475,0.1617456922172464,0.14940920631826074,0.1348714919353476,0.14510645019675375,0.6346364632809646|0.3685817374410213|0.2499999999999998|30|poisson|12|7.5|3
48,0.33963151177938183,0.29083953922934697,0.11685334371202705,0.1584959208070691,0.17096948953755695,0.5516989404457435|0.392173189009159|0.75|150|squared_error|19|9.75|9
49,0.33796838685361563,0.29669500905469176,0.12585438719872108,0.1907217467703768,0.17230769139498778,0.5685056631348191|0.3874548986955314|0.75|20|absolute_error|7|6.25|14
50,0.28419827580226137,0.1933454225356339,0.12905796796963678,0.12678187634347207,0.13842811348874834,0.5447570332480819|0.3941160144324174|0.75|110|poisson|2|7.0|1
51,0.2967430969656599,0.2186414339757732,0.10464004244248373,0.15316257818352128,0.18609683346158998,0.6214833759590793|0.3721898417985012|0.2499999999999998|160|squared_error|17|4.25|18
52,0.25072308091253936,0.14608899727545108,0.14056203896607425,0.15331333992239848,0.17580983278943815,0.5853123858238948|0.382459061892867|0.75|80|squared_error|14|2.0|5
53,0.27681126385843424,0.2546878043712137,0.13481178385294285,0.17508180758424413,0.18724767919490967,0.6244062842528316|0.3713572023313904|0.2499999999999998|110|absolute_error|2|4.0|12
54,0.27366498922974664,0.2925539448242807,0.10331250053998059,0.1571342443009839,0.17582420319723976,0.5345268542199488|0.3971690258118234|0.75|110|squared_error|20|5.0|5
55,0.34401762905540295,0.12360857860069123,0.1590123321897733,0.12989392398127766,0.14442404880363988,0.5615637559371576|0.3893977241187898|0.75|170|absolute_error|13|8.0|18
56,0.40342795175124946,0.2801807962984781,0.11617613249323958,0.16804882454633932,0.12440081031334597,0.6006576543660943|0.3780183180682764|0.75|190|absolute_error|6|9.0|15
57,0.32805493217809034,0.3959110879384447,0.35002417934938934,0.3970433447727572,0.30942754032161796,0.3017902813299233|0.6136552872606161|0.4999999999999998|140|squared_error|7|4.75|1
58,0.14650671723669587,0.23855979321055598,0.11573320120141498,0.15144515236314712,0.11554770955288085,0.6028498355864084|0.3774632250902026|0.2499999999999998|120|absolute_error|9|4.5|4
59,0.2506497907683725,0.14815980525011493,0.18200136397190583,0.149792144413605,0.14591457053768284,0.6189258312020461|0.3730224812656119|0.2499999999999998|90|poisson|10|7.5|5
60,0.34666734290033696,0.294556598090856,0.1410498798721231,0.15768675974947263,0.14367785775146788,0.7150164413591522|0.3463780183180682|0.2499999999999998|170|absolute_error|5|6.0|1
61,0.29171758466781994,0.3040035568627099,0.19997331744613306,0.17731642090121644,0.14039473246657305,0.4603580562659846|0.4196502914238135|0.75|40|absolute_error|7|3.0|12
62,0.3141541496173052,0.18874102934808745,0.14257032414305765,0.14861837577578238,0.1488882296525808,0.7621483375959078|0.3338884263114071|0.2499999999999998|60|absolute_error|13|6.0|12
63,0.34497011231243824,0.27189314232940887,0.14895507209561534,0.16409739988121272,0.12461694542087744,0.6371940080379979|0.3677490979739106|0.2499999999999998|130|absolute_error|9|9.5|16
64,0.29178986821165936,0.26745148684435077,0.12443202356478784,0.16169546842950833,0.09399055333690681,0.5860431128973327|0.3821815154038301|0.75|160|absolute_error|9|7.5|2
65,0.37727461643727667,0.3645507199433223,0.16590757447883125,0.22140312171977145,0.18268602953328938,0.4866642309097551|0.4296419650291423|0.75|200|squared_error|9|7.0|5
66,0.38742279192016427,0.4543322787261566,0.29693579340302734,0.3058428022918962,0.27581331755489735,0.3386919985385459|0.4715514848737163|0.75|160|squared_error|3|0.75|17
67,0.3632134629146902,0.27692145325424,0.1364865265069183,0.13921057675976184,0.1626913030834375,0.5761782974059189|0.3852345267832361|0.75|190|absolute_error|1|7.5|3
68,0.2542844124597141,0.23799588576779573,0.16749513851591338,0.2104305994559597,0.21419508596530382,0.6032151991231276|0.3774632250902026|0.2499999999999998|80|poisson|5|1.75|20
69,0.21988691083761705,0.27110611994496897,0.12264994991594967,0.17972851048377936,0.17074395916210441,0.6211180124223602|0.3724673882875381|0.2499999999999998|60|absolute_error|2|4.25|8
70,0.25695774690722917,0.20758807829439613,0.09530950695090405,0.14084867442326449,0.132613040182495,0.5736207526488857|0.38578961976131|0.75|110|squared_error|14|4.0|15
